Unnamed: 0,class,bruises,gill-spacing,gill-size,gill-color,stalk-root,ring-type,spore-print-color
0,poisonous,yes,close,narrow,black,equal,pendant,black
1,edible,yes,close,broad,black,club,pendant,brown
2,edible,yes,close,broad,brown,club,pendant,brown
3,poisonous,yes,close,narrow,brown,equal,pendant,black
4,edible,no,crowded,broad,black,equal,evanescent,brown
5,edible,yes,close,broad,brown,club,pendant,black
6,edible,yes,close,broad,gray,club,pendant,black
7,edible,yes,close,broad,brown,club,pendant,brown
8,poisonous,yes,close,narrow,pink,equal,pendant,black
9,edible,yes,close,broad,gray,club,pendant,black
10,edible,yes,close,broad,gray,club,pendant,brown
11,edible,yes,close,broad,brown,club,pendant,black
12,edible,yes,close,broad,white,club,pendant,brown
13,poisonous,yes,close,narrow,black,equal,pendant,brown
14,edible,no,crowded,broad,brown,equal,evanescent,black
15,edible,no,close,narrow,black,equal,pendant,brown
16,edible,no,crowded,broad,black,equal,evanescent,brown
17,poisonous,yes,close,narrow,brown,equal,pendant,black
18,poisonous,yes,close,narrow,brown,equal,pendant,brown
19,poisonous,yes,close,narrow,black,equal,pendant,brown
20,edible,yes,close,broad,black,club,pendant,brown
21,poisonous,yes,close,narrow,brown,equal,pendant,brown
22,edible,yes,close,broad,black,club,pendant,brown
23,edible,yes,close,broad,white,club,pendant,brown
24,edible,yes,close,broad,gray,club,pendant,black
25,poisonous,yes,close,narrow,brown,equal,pendant,brown
26,edible,yes,close,broad,brown,club,pendant,brown
27,edible,yes,close,broad,white,club,pendant,brown
28,edible,no,close,narrow,black,equal,pendant,black
29,edible,yes,crowded,narrow,brown,bulbous,pendant,brown
30,edible,yes,close,broad,gray,club,pendant,brown
31,poisonous,yes,close,narrow,black,equal,pendant,brown
32,edible,yes,close,broad,brown,club,pendant,brown
33,edible,yes,close,broad,pink,rooted,pendant,brown
34,edible,yes,close,broad,brown,club,pendant,brown
35,edible,yes,crowded,narrow,white,bulbous,pendant,brown
36,edible,no,close,narrow,black,equal,pendant,black
37,poisonous,yes,close,narrow,white,equal,pendant,brown
38,edible,yes,crowded,narrow,pink,bulbous,pendant,brown
39,edible,yes,close,broad,black,club,pendant,black
40,edible,yes,close,broad,brown,club,pendant,brown
41,edible,yes,close,broad,brown,rooted,pendant,black
42,edible,no,close,narrow,gray,equal,pendant,black
43,poisonous,yes,close,narrow,pink,equal,pendant,brown
44,edible,yes,close,broad,white,club,pendant,black
45,edible,yes,close,broad,brown,club,pendant,brown
46,edible,yes,close,broad,black,club,pendant,black
47,edible,yes,close,broad,white,club,pendant,brown
48,edible,yes,close,broad,brown,rooted,pendant,brown
49,edible,yes,close,broad,white,rooted,pendant,black
50,edible,yes,close,broad,white,rooted,pendant,black
51,edible,yes,close,broad,black,club,pendant,black
52,edible,yes,close,broad,black,club,pendant,brown
53,poisonous,yes,close,narrow,black,equal,pendant,brown
54,poisonous,yes,close,narrow,black,equal,pendant,black
55,edible,yes,close,broad,white,club,pendant,black
56,edible,no,crowded,broad,brown,equal,evanescent,brown
57,edible,yes,close,broad,white,club,pendant,brown
58,edible,yes,close,broad,black,club,pendant,black
59,edible,yes,close,broad,pink,rooted,pendant,black
60,edible,no,close,narrow,black,equal,pendant,brown
61,edible,yes,close,broad,black,club,pendant,brown
62,edible,yes,close,broad,gray,club,pendant,brown
63,edible,yes,close,broad,gray,club,pendant,brown
64,edible,yes,close,broad,brown,club,pendant,brown
65,edible,no,crowded,broad,black,equal,evanescent,black
66,edible,yes,close,broad,brown,club,pendant,black
67,edible,yes,close,broad,white,rooted,pendant,brown
68,edible,yes,close,broad,white,club,pendant,black
69,edible,no,close,narrow,pink,equal,pendant,brown
70,edible,yes,crowded,narrow,pink,bulbous,pendant,brown
71,edible,yes,close,broad,gray,club,pendant,brown
72,edible,yes,crowded,narrow,white,bulbous,pendant,brown
73,edible,yes,close,broad,pink,rooted,pendant,black
74,edible,yes,close,broad,black,club,pendant,black
75,edible,yes,crowded,narrow,pink,bulbous,pendant,brown
76,edible,yes,crowded,narrow,brown,bulbous,pendant,purple
77,edible,yes,close,broad,pink,rooted,pendant,brown
78,poisonous,yes,close,narrow,white,equal,pendant,brown
79,edible,yes,close,broad,brown,rooted,pendant,brown
80,edible,no,crowded,broad,black,equal,evanescent,brown
