Unnamed: 0,class,bruises,gill-spacing,gill-size,gill-color,stalk-root,ring-type,spore-print-color
1387,edible,yes,close,broad,white,bulbous,pendant,brown
5064,poisonous,yes,close,broad,pink,bulbous,pendant,chocolate
8039,poisonous,no,close,narrow,buff,bulbous,evanescent,white
1287,edible,no,crowded,broad,chocolate,equal,evanescent,black
4693,poisonous,no,close,broad,pink,bulbous,large,chocolate
542,poisonous,yes,close,narrow,brown,equal,pendant,brown
4524,poisonous,no,close,broad,chocolate,bulbous,large,chocolate
2286,edible,yes,close,broad,white,bulbous,pendant,black
5445,poisonous,yes,close,broad,white,bulbous,pendant,chocolate
939,edible,yes,close,broad,purple,bulbous,pendant,brown
3017,poisonous,no,close,broad,gray,bulbous,large,chocolate
2755,edible,yes,close,broad,pink,bulbous,pendant,brown
999,poisonous,yes,close,narrow,pink,equal,pendant,black
2789,edible,yes,close,broad,pink,bulbous,pendant,black
3311,edible,yes,close,broad,pink,bulbous,pendant,brown
2578,edible,yes,close,broad,pink,bulbous,pendant,black
7161,poisonous,no,close,narrow,buff,bulbous,evanescent,white
2220,edible,yes,close,broad,white,bulbous,pendant,brown
4620,poisonous,no,close,broad,pink,bulbous,large,chocolate
8031,poisonous,no,close,narrow,buff,bulbous,evanescent,white
8024,poisonous,no,close,narrow,buff,bulbous,evanescent,white
244,edible,yes,crowded,narrow,pink,bulbous,pendant,purple
7120,poisonous,no,close,narrow,buff,bulbous,evanescent,white
2638,edible,yes,close,broad,brown,bulbous,pendant,brown
7020,edible,no,crowded,broad,gray,bulbous,pendant,white
4342,poisonous,no,close,broad,chocolate,bulbous,large,chocolate
6416,poisonous,no,close,narrow,buff,bulbous,evanescent,white
6197,poisonous,no,close,narrow,buff,bulbous,evanescent,white
4895,poisonous,no,close,broad,gray,bulbous,large,chocolate
6979,poisonous,no,close,narrow,buff,bulbous,evanescent,white
7784,poisonous,no,close,narrow,buff,bulbous,evanescent,white
674,edible,yes,close,broad,white,rooted,pendant,brown
7412,edible,no,close,broad,brown,bulbous,pendant,brown
1353,edible,no,crowded,broad,black,equal,evanescent,brown
4000,edible,yes,close,broad,pink,bulbous,pendant,black
1380,poisonous,yes,close,narrow,brown,equal,pendant,brown
3068,poisonous,no,close,narrow,pink,bulbous,pendant,brown
7562,poisonous,no,close,narrow,buff,bulbous,evanescent,white
549,edible,yes,close,broad,gray,club,pendant,brown
931,edible,no,crowded,broad,brown,equal,evanescent,brown
4701,poisonous,no,close,broad,pink,bulbous,large,chocolate
1889,edible,yes,close,broad,white,bulbous,pendant,brown
4458,poisonous,no,close,broad,chocolate,bulbous,large,chocolate
2689,edible,yes,close,broad,white,bulbous,pendant,black
7081,poisonous,no,close,narrow,buff,bulbous,evanescent,white
2231,edible,yes,close,broad,white,bulbous,pendant,black
479,edible,yes,close,broad,brown,club,pendant,black
1579,poisonous,yes,close,narrow,brown,equal,pendant,black
3921,poisonous,no,close,broad,pink,bulbous,large,chocolate
5979,poisonous,no,close,broad,pink,bulbous,large,chocolate
1949,edible,no,crowded,broad,pink,equal,evanescent,brown
2554,edible,yes,close,broad,pink,bulbous,pendant,black
3532,edible,yes,close,broad,brown,bulbous,pendant,black
3442,edible,yes,close,broad,white,bulbous,pendant,brown
