iter	Passed	Remaining
0	17	17756
1	24	12066
2	30	10117
3	35	8801
4	39	7919
5	43	7264
6	47	6697
7	50	6217
8	53	5874
9	59	5933
10	62	5656
11	65	5396
12	68	5186
13	70	4992
14	73	4824
15	76	4716
16	79	4585
17	81	4470
18	84	4380
19	88	4345
20	92	4303
21	95	4249
22	98	4195
23	102	4153
24	105	4106
25	109	4116
26	113	4084
27	117	4067
28	120	4040
29	124	4025
30	128	4024
31	131	3990
32	134	3950
33	143	4074
34	147	4066
35	152	4075
36	158	4125
37	162	4103
38	166	4099
39	169	4065
40	174	4092
41	177	4058
42	180	4025
43	183	3995
44	192	4092
45	196	4070
46	199	4044
47	203	4038
48	207	4027
49	210	3999
50	213	3975
51	216	3945
52	222	3975
53	225	3950
54	228	3919
55	230	3892
56	234	3872
57	238	3867
58	240	3839
59	243	3813
60	246	3787
61	248	3761
62	252	3756
63	255	3732
64	257	3709
65	260	3686
66	263	3663
67	266	3645
68	268	3628
69	271	3607
70	274	3588
71	276	3569
72	279	3549
73	282	3536
74	285	3518
75	287	3497
76	290	3483
77	293	3466
78	295	3449
79	298	3438
80	301	3421
81	304	3406
82	306	3391
83	309	3376
84	312	3358
85	315	3356
86	318	3343
87	321	3327
88	323	3313
89	326	3298
90	328	3284
91	332	3277
92	335	3268
93	337	3254
94	340	3242
95	342	3229
96	345	3213
97	348	3208
98	351	3196
99	353	3184
100	356	3172
101	358	3160
102	361	3147
103	368	3173
104	370	3161
105	373	3150
106	376	3139
107	378	3130
108	381	3121
109	384	3110
110	387	3100
111	389	3090
112	392	3080
113	395	3076
114	398	3067
115	401	3057
116	403	3047
117	406	3038
118	409	3028
119	415	3043
120	417	3034
121	420	3024
122	422	3014
123	425	3005
124	428	3001
125	431	2992
126	433	2983
127	436	2974
128	439	2966
129	442	2961
130	445	2956
131	448	2947
132	450	2938
133	453	2928
134	455	2920
135	458	2912
136	461	2907
137	464	2900
138	466	2892
139	469	2884
140	472	2877
141	475	2870
142	478	2864
143	480	2857
144	483	2849
145	485	2841
146	488	2834
147	491	2828
148	494	2823
149	496	2815
150	499	2809
151	502	2802
152	504	2792
153	507	2787
154	510	2780
155	512	2773
156	515	2767
157	517	2760
158	520	2753
159	523	2748
160	526	2742
161	529	2736
162	531	2729
163	534	2723
164	536	2716
165	540	2715
166	543	2712
167	547	2710
168	551	2709
169	554	2708
170	558	2707
171	561	2703
172	564	2699
173	567	2692
174	570	2691
175	576	2700
