iter	Passed	Remaining
0	7	7218
1	14	7274
2	20	6736
3	25	6277
4	28	5766
5	32	5333
6	34	4949
7	38	4727
8	41	4515
9	44	4438
10	49	4421
11	52	4302
12	56	4296
13	59	4223
14	68	4500
15	78	4813
16	83	4837
17	88	4837
18	93	4819
19	96	4750
20	100	4668
21	105	4674
22	109	4650
23	112	4570
24	115	4500
25	119	4459
26	123	4466
27	127	4415
28	130	4361
29	133	4312
30	137	4300
31	140	4257
32	143	4215
33	146	4169
34	149	4127
35	153	4109
36	156	4072
37	159	4036
38	162	4000
39	165	3970
40	169	3954
41	171	3923
42	174	3893
43	177	3865
44	180	3840
45	184	3830
46	187	3806
47	190	3782
48	193	3757
49	196	3734
50	200	3730
51	203	3710
52	206	3687
53	209	3665
54	212	3651
55	217	3663
56	220	3648
57	223	3632
58	226	3619
59	231	3622
60	234	3608
61	237	3592
62	240	3577
63	243	3563
64	247	3565
65	251	3564
66	255	3553
67	258	3540
68	261	3526
69	264	3514
70	267	3500
71	270	3482
72	273	3467
73	275	3451
74	279	3442
75	281	3424
76	284	3410
77	287	3396
78	289	3380
79	292	3364
80	295	3357
81	298	3345
82	301	3332
83	304	3320
84	307	3305
85	310	3298
86	313	3289
87	316	3275
88	319	3266
89	322	3256
90	325	3247
91	328	3246
92	332	3238
93	335	3229
94	338	3220
95	340	3208
96	343	3199
97	346	3192
98	349	3182
99	352	3173
100	355	3163
101	358	3156
102	361	3148
103	364	3138
104	367	3128
105	369	3120
106	372	3112
107	377	3119
108	381	3119
109	385	3115
110	388	3109
111	392	3111
112	395	3105
113	398	3097
114	401	3089
115	404	3081
116	407	3076
117	410	3070
118	413	3062
119	416	3053
120	419	3045
121	422	3037
122	425	3035
123	428	3027
124	431	3019
125	434	3011
126	437	3004
127	440	3002
128	444	2998
129	446	2990
130	449	2981
131	452	2974
132	455	2970
133	458	2963
134	461	2956
135	464	2950
136	467	2944
137	470	2937
138	473	2934
139	476	2928
140	479	2921
141	482	2915
142	485	2908
143	489	2909
144	493	2908
145	496	2906
146	500	2902
147	504	2902
148	507	2898
149	510	2895
150	514	2893
151	517	2888
152	521	2887
153	524	2883
154	528	2879
155	531	2872
156	533	2866
157	538	2869
158	541	2864
159	544	2860
160	547	2855
161	552	2856
162	558	2866
163	562	2867
164	565	2862
165	570	2863
166	575	2868
167	577	2862
168	580	2856
169	583	2850
170	587	2849
171	590	2844
172	593	2837
173	596	2830
174	599	2824
175	603	2825
176	606	2818
177	609	2812
178	611	2806
179	614	2799
180	618	2797
181	621	2793
182	624	2787
183	627	2781
184	629	2775
185	633	2771
186	636	2767
187	639	2762
188	642	2755
189	644	2749
190	647	2743
191	651	2741
192	654	2736
193	657	2730
194	660	2725
195	662	2719
196	666	2717
197	669	2712
198	672	2707
199	675	2702
200	678	2695
201	681	2692
202	684	2687
203	686	2680
204	689	2672
205	691	2667
206	694	2661
207	698	2658
208	700	2652
209	703	2647
210	706	2642
211	709	2637
212	712	2631
213	715	2629
214	718	2623
215	721	2618
216	724	2613
217	727	2608
218	730	2605
219	732	2598
220	735	2593
221	738	2588
222	741	2583
223	744	2577
224	747	2575
225	750	2571
226	753	2566
227	755	2558
228	758	2554
229	761	2550
230	764	2545
231	767	2540
232	770	2535
233	773	2530
234	775	2525
235	779	2523
236	782	2519
237	784	2512
238	787	2507
239	790	2503
240	793	2499
241	796	2495
242	799	2489
243	802	2485
244	804	2480
245	807	2475
246	811	2473
247	814	2469
248	818	2467
249	820	2462
250	823	2458
251	827	2455
252	830	2452
253	833	2447
254	836	2443
255	839	2439
256	842	2435
257	845	2432
258	849	2429
259	851	2423
260	853	2417
261	856	2412
262	860	2411
263	863	2407
264	866	2403
265	868	2396
266	871	2392
267	874	2388
268	877	2384
269	880	2380
270	882	2373
271	884	2367
272	887	2363
273	890	2358
274	893	2354
275	896	2350
276	898	2345
277	900	2339
278	903	2335
279	907	2333
280	910	2329
281	913	2325
282	915	2319
283	918	2314
284	920	2308
285	923	2305
286	925	2300
287	928	2295
288	930	2289
289	932	2284
290	935	2279
291	938	2276
292	941	2272
293	944	2268
294	946	2262
295	950	2260
296	954	2258
297	957	2256
298	960	2252
299	963	2248
300	965	2243
301	968	2239
302	972	2237
303	974	2232
304	977	2227
305	980	2222
306	982	2218
307	984	2211
308	987	2208
309	990	2203
310	992	2198
311	994	2192
312	997	2188
313	999	2184
314	1004	2183
315	1007	2180
