class,bruises,gill-spacing,gill-size,gill-color,stalk-root,ring-type,spore-print-color
poisonous,yes,close,narrow,black,equal,pendant,black
edible,yes,close,broad,black,club,pendant,brown
edible,yes,close,broad,brown,club,pendant,brown
poisonous,yes,close,narrow,brown,equal,pendant,black
edible,no,crowded,broad,black,equal,evanescent,brown
edible,yes,close,broad,brown,club,pendant,black
edible,yes,close,broad,gray,club,pendant,black
edible,yes,close,broad,brown,club,pendant,brown
poisonous,yes,close,narrow,pink,equal,pendant,black
edible,yes,close,broad,gray,club,pendant,black
edible,yes,close,broad,gray,club,pendant,brown
edible,yes,close,broad,brown,club,pendant,black
edible,yes,close,broad,white,club,pendant,brown
poisonous,yes,close,narrow,black,equal,pendant,brown
edible,no,crowded,broad,brown,equal,evanescent,black
edible,no,close,narrow,black,equal,pendant,brown
edible,no,crowded,broad,black,equal,evanescent,brown
poisonous,yes,close,narrow,brown,equal,pendant,black
poisonous,yes,close,narrow,brown,equal,pendant,brown
poisonous,yes,close,narrow,black,equal,pendant,brown
edible,yes,close,broad,black,club,pendant,brown
poisonous,yes,close,narrow,brown,equal,pendant,brown
edible,yes,close,broad,black,club,pendant,brown
edible,yes,close,broad,white,club,pendant,brown
edible,yes,close,broad,gray,club,pendant,black
poisonous,yes,close,narrow,brown,equal,pendant,brown
edible,yes,close,broad,brown,club,pendant,brown
edible,yes,close,broad,white,club,pendant,brown
edible,no,close,narrow,black,equal,pendant,black
edible,yes,crowded,narrow,brown,bulbous,pendant,brown
edible,yes,close,broad,gray,club,pendant,brown
poisonous,yes,close,narrow,black,equal,pendant,brown
edible,yes,close,broad,brown,club,pendant,brown
edible,yes,close,broad,pink,rooted,pendant,brown
edible,yes,close,broad,brown,club,pendant,brown
edible,yes,crowded,narrow,white,bulbous,pendant,brown
edible,no,close,narrow,black,equal,pendant,black
poisonous,yes,close,narrow,white,equal,pendant,brown
edible,yes,crowded,narrow,pink,bulbous,pendant,brown
edible,yes,close,broad,black,club,pendant,black
edible,yes,close,broad,brown,club,pendant,brown
edible,yes,close,broad,brown,rooted,pendant,black
edible,no,close,narrow,gray,equal,pendant,black
poisonous,yes,close,narrow,pink,equal,pendant,brown
edible,yes,close,broad,white,club,pendant,black
edible,yes,close,broad,brown,club,pendant,brown
edible,yes,close,broad,black,club,pendant,black
edible,yes,close,broad,white,club,pendant,brown
edible,yes,close,broad,brown,rooted,pendant,brown
edible,yes,close,broad,white,rooted,pendant,black
edible,yes,close,broad,white,rooted,pendant,black
edible,yes,close,broad,black,club,pendant,black
edible,yes,close,broad,black,club,pendant,brown
poisonous,yes,close,narrow,black,equal,pendant,brown
poisonous,yes,close,narrow,black,equal,pendant,black
edible,yes,close,broad,white,club,pendant,black
edible,no,crowded,broad,brown,equal,evanescent,brown
edible,yes,close,broad,white,club,pendant,brown
edible,yes,close,broad,black,club,pendant,black
edible,yes,close,broad,pink,rooted,pendant,black
edible,no,close,narrow,black,equal,pendant,brown
edible,yes,close,broad,black,club,pendant,brown
edible,yes,close,broad,gray,club,pendant,brown
edible,yes,close,broad,gray,club,pendant,brown
edible,yes,close,broad,brown,club,pendant,brown
edible,no,crowded,broad,black,equal,evanescent,black
edible,yes,close,broad,brown,club,pendant,black
edible,yes,close,broad,white,rooted,pendant,brown
edible,yes,close,broad,white,club,pendant,black
edible,no,close,narrow,pink,equal,pendant,brown
edible,yes,crowded,narrow,pink,bulbous,pendant,brown
edible,yes,close,broad,gray,club,pendant,brown
edible,yes,crowded,narrow,white,bulbous,pendant,brown
edible,yes,close,broad,pink,rooted,pendant,black
edible,yes,close,broad,black,club,pendant,black
edible,yes,crowded,narrow,pink,bulbous,pendant,brown
edible,yes,crowded,narrow,brown,bulbous,pendant,purple
edible,yes,close,broad,pink,rooted,pendant,brown
poisonous,yes,close,narrow,white,equal,pendant,brown
edible,yes,close,broad,brown,rooted,pendant,brown
edible,no,crowded,broad,black,equal,evanescent,brown
poisonous,yes,close,narrow,white,equal,pendant,black
edible,no,close,narrow,brown,equal,pendant,brown
edible,no,crowded,broad,brown,equal,evanescent,brown
edible,yes,close,broad,white,rooted,pendant,black
edible,no,crowded,broad,black,equal,evanescent,black
edible,yes,close,broad,white,club,pendant,black
edible,yes,close,broad,brown,club,pendant,brown
edible,yes,close,broad,white,rooted,pendant,black
edible,no,close,narrow,brown,equal,pendant,brown
edible,no,close,narrow,brown,equal,pendant,brown
edible,yes,close,broad,black,club,pendant,black
edible,yes,close,broad,gray,club,pendant,black
edible,yes,close,broad,gray,club,pendant,black
edible,no,crowded,broad,brown,equal,evanescent,brown
edible,yes,close,broad,gray,club,pendant,brown
edible,yes,close,broad,pink,rooted,pendant,brown
edible,yes,close,broad,brown,club,pendant,black
edible,yes,close,broad,gray,club,pendant,brown
edible,yes,close,broad,gray,club,pendant,black
edible,no,crowded,broad,pink,equal,evanescent,black
edible,yes,close,broad,brown,club,pendant,black
edible,yes,close,broad,white,rooted,pendant,brown
edible,yes,close,broad,brown,rooted,pendant,black
edible,yes,close,broad,gray,club,pendant,brown
edible,yes,close,broad,brown,club,pendant,black
edible,yes,close,broad,white,rooted,pendant,brown
edible,yes,close,broad,brown,club,pendant,black
edible,yes,close,broad,gray,club,pendant,brown
edible,yes,close,broad,black,club,pendant,black
edible,yes,close,broad,white,club,pendant,black
edible,no,close,narrow,gray,equal,pendant,black
edible,yes,crowded,narrow,white,bulbous,pendant,purple
edible,yes,close,broad,brown,club,pendant,black
poisonous,yes,close,narrow,brown,equal,pendant,brown
edible,yes,close,broad,pink,rooted,pendant,brown
edible,no,close,narrow,pink,equal,pendant,brown
edible,yes,close,broad,white,rooted,pendant,black
edible,yes,crowded,narrow,pink,bulbous,pendant,purple
edible,no,close,narrow,black,equal,pendant,brown
poisonous,yes,close,narrow,black,equal,pendant,black
edible,yes,close,broad,gray,club,pendant,brown
poisonous,yes,close,narrow,pink,equal,pendant,black
edible,no,crowded,broad,black,equal,evanescent,brown
edible,yes,close,broad,gray,club,pendant,brown
edible,no,crowded,broad,brown,equal,evanescent,black
edible,yes,close,broad,white,club,pendant,brown
edible,no,crowded,broad,chocolate,equal,evanescent,brown
